wavelength,flux
3235.057919123842,59.050716
3235.1692141051876,36.523853
3235.280509086533,34.127098
3235.3918040678786,42.779877
3235.503099049224,46.24807
3235.6143940305697,53.877266
3235.725689011915,83.689644
3235.8369839932607,103.71802
3235.948278974606,69.16602
3236.0595739559517,33.588062
3236.170868937297,26.620352
3236.2821639186427,25.456125
3236.393458899988,32.152706
3236.5047538813337,36.473106
3236.6160488626792,38.998173
3236.7273438440247,44.95818
3236.8386388253703,43.653313
3236.9499338067158,31.686563
3237.0612287880613,28.788076
3237.1725237694072,34.989178
3237.2838187507527,33.275265
3237.3951137320983,26.97312
3237.5064087134438,29.629602
3237.6177036947893,43.56872
3237.728998676135,62.94706
3237.8402936574803,83.953384
3237.951588638826,138.31906
3238.0628836201713,249.8756
3238.174178601517,244.09273
3238.2854735828623,83.10808
3238.396768564208,33.59011
3238.5080635455533,38.92883
3238.619358526899,39.035465
3238.7306535082444,51.935677
3238.84194848959,82.24011
3238.9532434709354,97.51398
3239.064538452281,64.38442
3239.1758334336264,53.98302
3239.287128414972,62.709885
3239.3984233963174,44.65765
3239.5097183776634,30.109467
3239.621013359009,30.253511
3239.7323083403544,32.7037
3239.8436033217,30.228825
3239.9548983030454,32.067215
3240.066193284391,40.23185
3240.1774882657364,54.19082
3240.288783247082,60.805447
3240.4000782284274,65.27666
3240.511373209773,92.053764
3240.6226681911185,113.92889
3240.733963172464,83.47648
3240.8452581538095,50.603046
3240.956553135155,47.729202
3241.0678481165005,64.45108
3241.179143097846,61.75419
3241.2904380791915,39.51319
3241.401733060537,34.68881
3241.5130280418825,41.114964
3241.624323023228,37.795914
3241.7356180045736,34.813072
3241.846912985919,40.037865
3241.958207967265,40.828766
3242.0695029486105,42.776016
3242.180797929956,46.06242
3242.2920929113016,44.630577
3242.403387892647,41.426975
3242.5146828739926,30.21358
3242.625977855338,25.21292
3242.7372728366836,31.678516
3242.848567818029,35.620674
3242.9598627993746,38.667755
3243.07115778072,39.501003
3243.1824527620656,41.444275
3243.293747743411,61.332253
3243.4050427247566,91.73861
3243.516337706102,159.64885
3243.6276326874477,270.40207
3243.738927668793,276.2835
3243.8502226501387,114.93827
3243.961517631484,75.1671
3244.0728126128297,94.22518
3244.184107594175,101.11703
3244.2954025755207,157.44107
3244.4066975568667,257.40802
3244.517992538212,220.11577
3244.6292875195577,76.16114
3244.740582500903,30.378765
3244.8518774822487,34.653915
3244.963172463594,32.92884
3245.0744674449397,30.763216
3245.1857624262852,32.53348
3245.2970574076307,36.24542
3245.4083523889763,42.557117
3245.5196473703218,53.774464
3245.6309423516673,74.70417
3245.742237333013,97.48525
3245.8535323143583,76.82128
3245.964827295704,49.585022
3246.0761222770493,38.04402
3246.187417258395,33.616543
3246.2987122397403,33.276005
3246.410007221086,33.910793
3246.5213022024313,32.70278
3246.632597183777,31.226778
3246.743892165123,34.606686
3246.8551871464683,34.501442
3246.966482127814,30.937927
3247.0777771091593,38.30378
